,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
386,waipawa,-39.94,176.59,61.0,76,46,3.0,NZ,1576233173
387,methven,-43.63,171.65,62.01,45,43,1.99,NZ,1576233173
388,forbes,-33.38,148.01,75.0,11,56,1.01,AU,1576233173
389,ikorodu,6.62,3.5,84.2,79,20,12.41,NG,1576233173
390,nisia floresta,-6.09,-35.21,82.4,65,40,11.41,BR,1576233174
391,kuldiga,56.97,21.96,35.6,93,90,8.05,LV,1576233174
392,hazorasp,41.32,61.08,33.8,80,90,11.41,UZ,1576233174
393,shetpe,44.14,52.16,36.3,73,0,14.94,KZ,1576233174
394,palmer,-34.85,139.16,64.4,59,75,11.41,AU,1576233175
395,nador,35.17,-2.93,64.4,68,20,29.97,MA,1576233175
396,labuhan,-2.54,115.51,74.59,95,100,2.57,ID,1576233175
397,amahai,-3.31,129.0,87.01,75,83,11.18,ID,1576233175
398,aksarka,66.56,67.8,0.36,85,0,2.57,RU,1576233175
399,vestmanna,62.16,-7.17,30.2,86,93,6.93,FO,1576233176
400,tiznit,29.7,-9.73,67.32,33,0,1.57,MA,1576233176
401,namtsy,62.72,129.66,-41.8,57,93,2.26,RU,1576233176
402,camacha,33.08,-16.33,64.4,68,40,5.82,PT,1576233176
403,marsa matruh,31.35,27.25,62.6,63,20,16.11,EG,1576233153
404,jucuaran,13.25,-88.25,78.84,66,63,9.6,SV,1576233177
405,ayan,38.23,44.7,32.38,80,96,3.56,IR,1576233177
406,qaqortoq,60.72,-46.03,33.8,24,40,25.28,GL,1576232944
407,parry sound,45.34,-80.04,30.99,88,100,8.68,CA,1576233177
408,baykit,61.68,96.39,18.03,90,100,9.04,RU,1576233178
409,rioja,-6.06,-77.17,66.31,98,97,0.38,PE,1576233178
410,mogadishu,2.04,45.34,86.0,66,40,12.75,SO,1576233141
411,seaford,50.77,0.1,46.99,65,20,24.16,GB,1576233178
412,itarema,-2.92,-39.92,84.74,65,92,11.65,BR,1576233178
413,burgeo,47.61,-57.61,22.06,68,100,26.55,CA,1576233179
414,yamada,36.58,137.08,42.01,75,75,2.24,JP,1576233179
415,mangrol,25.33,76.51,70.16,51,63,5.32,IN,1576233179
416,novyy urengoy,66.08,76.63,-6.0,96,93,12.77,RU,1576233179
417,basoda,23.85,77.92,72.93,51,47,6.73,IN,1576233179
418,ipixuna,-1.76,-48.8,77.0,94,20,3.36,BR,1576233180
419,prince george,53.92,-122.75,30.2,100,90,2.24,CA,1576233180
420,cordoba,-27.78,-67.24,70.2,28,1,3.58,AR,1576233180
421,leeton,-34.55,146.4,75.2,22,77,8.05,AU,1576233180
422,panaba,21.28,-88.27,69.91,95,64,3.53,MX,1576233180
423,natal,-5.81,-35.21,82.4,65,40,11.41,BR,1576233146
424,hamilton,43.26,-79.87,37.4,74,75,9.17,CA,1576232984
425,tual,-5.67,132.75,84.09,66,100,2.04,ID,1576233181
426,laureles,29.18,-110.87,55.99,87,5,3.89,MX,1576233181
427,cabo san lucas,22.89,-109.91,64.0,82,0,3.0,MX,1576233021
428,presidencia roque saenz pena,-26.79,-60.44,79.14,36,35,9.62,AR,1576233182
429,san cristobal,14.68,-86.92,61.63,97,97,2.91,HN,1576233182
430,valdosta,30.83,-83.28,50.0,87,90,6.93,US,1576233182
431,am timan,11.04,20.28,102.81,9,74,2.68,TD,1576233182
432,lavrentiya,65.58,-170.99,23.67,83,58,6.06,RU,1576233183
433,polangi,11.53,124.92,74.73,95,90,2.33,PH,1576233183
434,madingou,-4.17,13.56,79.63,81,93,1.3,CG,1576233183
435,soyo,-6.13,12.37,84.2,79,75,6.93,AO,1576233183
436,hasaki,35.73,140.83,46.4,65,75,6.93,JP,1576233183
437,kaeng khoi,14.59,101.0,93.99,36,30,8.37,TH,1576233184
438,iskateley,67.68,53.15,21.16,96,97,7.78,RU,1576233184
439,boliqueime,37.13,-8.16,64.0,87,75,8.05,PT,1576233184
440,kibre mengist,5.87,38.99,71.92,69,31,4.85,ET,1576233184
441,tacuarembo,-31.73,-55.98,64.33,54,0,11.25,UY,1576233146
442,filadelfia,-22.35,-60.04,83.19,68,68,6.06,PY,1576233185
443,camalu,30.85,-116.07,57.2,61,0,2.37,MX,1576233185
444,dalbandin,28.9,64.41,59.36,24,3,7.02,PK,1576233185
445,meulaboh,4.14,96.13,82.78,70,74,1.88,ID,1576233185
446,atar,20.52,-13.05,66.2,32,95,2.24,MR,1576233186
447,flinders,-34.58,150.85,69.01,77,90,5.82,AU,1576233186
448,mehran,33.12,46.17,46.4,75,90,4.7,IR,1576233186
449,madiun,-7.63,111.52,80.02,81,68,4.88,ID,1576233186
450,bilma,18.69,12.92,70.45,10,14,9.37,NE,1576233186
451,yaring,6.87,101.37,75.2,94,90,11.41,TH,1576233187
452,sigli,5.38,95.96,81.81,79,59,18.12,ID,1576233187
453,shumskiy,54.83,99.13,19.89,81,100,1.72,RU,1576233188
454,almendralejo,38.68,-6.41,59.0,82,90,17.22,ES,1576233188
455,klyuchi,52.25,79.17,31.23,98,100,4.85,RU,1576233188
456,chegdomyn,51.13,133.04,-13.92,97,92,0.51,RU,1576233189
457,athabasca,54.72,-113.29,-1.26,97,100,4.79,CA,1576233189
458,dudinka,69.41,86.18,-14.8,83,40,13.42,RU,1576233189
459,bahar,34.91,48.44,35.6,93,90,2.24,IR,1576233189
460,libertador general san martin,-23.81,-64.79,64.98,84,100,0.47,AR,1576233189
461,senahu,15.42,-89.82,58.32,97,0,3.44,GT,1576233190
462,antalaha,-14.9,50.28,83.91,77,14,14.61,MG,1576233190
463,henties bay,-22.12,14.28,66.0,82,13,15.73,NA,1576233190
464,jalu,29.03,21.55,67.8,22,0,12.95,LY,1576233190
465,imeni poliny osipenko,52.42,136.49,-9.96,99,100,0.6,RU,1576233190
466,timizart,36.8,4.25,62.38,80,92,38.92,DZ,1576233191
467,ussel,45.55,2.31,51.01,36,100,5.99,FR,1576233191
468,santa helena de goias,-17.81,-50.6,71.19,89,100,2.24,BR,1576233191
469,thinadhoo,0.53,72.93,83.26,71,58,8.95,MV,1576233191
470,high level,58.52,-117.13,-27.4,67,1,2.24,CA,1576233191
471,bage,12.95,75.85,72.59,69,49,6.49,IN,1576233192
472,reconquista,-29.14,-59.64,72.61,35,29,13.15,AR,1576233192
473,dobeln,51.12,13.12,39.0,74,75,14.99,DE,1576233192
474,opunake,-39.45,173.86,60.01,96,76,10.0,NZ,1576233193
475,adelaide,-34.93,138.6,64.99,59,75,11.41,AU,1576233081
476,salinopolis,-0.61,-47.36,82.04,79,62,15.19,BR,1576233193
477,pedernales,0.07,-80.05,72.52,88,95,3.98,EC,1576233193
478,barinitas,8.76,-70.41,53.11,81,31,0.96,VE,1576233193
479,chippewa falls,44.94,-91.39,10.4,92,90,3.36,US,1576233193
480,savelugu,9.63,-0.83,94.21,8,41,6.82,GH,1576233194
481,tuy hoa,13.08,109.3,76.06,85,99,21.47,VN,1576233194
482,coffs harbour,-30.3,153.13,71.6,93,90,9.17,AU,1576233024
483,helena,46.59,-112.04,37.4,59,1,20.8,US,1576233136
484,casper,42.87,-106.31,33.8,69,75,11.41,US,1576233195
485,grand gaube,-20.01,57.66,86.0,70,75,16.11,MU,1576233195
486,calvinia,-31.47,19.78,86.56,24,0,19.84,ZA,1576233196
487,mahebourg,-20.41,57.7,86.0,70,75,16.11,MU,1576233196
488,lorengau,-2.02,147.27,84.61,73,99,9.73,PG,1576233196
489,yurla,59.33,54.32,20.77,93,100,7.07,RU,1576233197
490,tigzirt,36.57,4.2,57.52,72,79,20.04,DZ,1576233197
491,nome,30.04,-94.42,57.2,87,90,0.83,US,1576233197
492,maniitsoq,65.42,-52.9,21.4,60,90,12.1,GL,1576233197
493,paralimni,40.99,23.67,60.01,83,67,1.45,GR,1576233197
494,zhigalovo,54.81,105.15,10.36,95,98,2.37,RU,1576233198
495,urucara,-2.54,-57.76,79.56,80,100,2.82,BR,1576233198
496,klaksvik,62.23,-6.59,30.2,86,100,6.93,FO,1576233198
497,hami,42.84,93.51,25.29,45,12,1.32,CN,1576233198
498,moranbah,-22.0,148.04,82.04,52,51,10.16,AU,1576233199
499,tilichiki,60.47,166.1,-13.85,97,5,7.83,RU,1576233199
500,turan,52.15,93.92,1.54,85,100,2.59,RU,1576233199
501,ixtapa,20.71,-105.21,66.99,88,5,4.7,MX,1576233199
502,berlevag,70.86,29.09,35.6,74,100,32.21,NO,1576233200
503,perigueux,45.18,0.72,51.01,80,99,10.0,FR,1576233200
504,asyut,27.18,31.19,62.6,45,17,6.93,EG,1576233200
505,praya,-8.71,116.27,78.8,88,75,1.12,ID,1576233200
506,port blair,11.67,92.75,80.87,71,39,18.32,IN,1576233201
507,plettenberg bay,-34.05,23.37,72.43,75,16,15.08,ZA,1576233201
508,carauari,-4.88,-66.9,77.54,91,99,2.59,BR,1576233201
509,ola,59.58,151.3,-3.17,75,99,6.96,RU,1576233201
510,ajdabiya,30.75,20.22,66.27,25,20,15.66,LY,1576233201
511,pinyug,60.25,47.79,26.82,93,99,7.94,RU,1576233202
512,benfleet,51.56,0.56,46.4,81,40,14.99,GB,1576233203
513,pingliang,35.54,106.68,30.9,74,100,5.55,CN,1576233203
514,pirovskoye,57.63,92.27,23.86,93,100,8.7,RU,1576233203
515,mugur-aksy,50.38,90.44,6.26,57,100,5.77,RU,1576233204
516,kieta,-6.22,155.63,81.77,77,92,5.95,PG,1576233204
517,sarangani,5.4,125.46,82.89,76,84,18.61,PH,1576233204
518,chabahar,25.29,60.65,78.8,36,1,9.17,IR,1576233204
519,baghdad,33.3,44.38,60.8,72,90,8.05,IQ,1576233204
520,fomboni,-12.28,43.74,83.39,68,0,3.53,KM,1576233205
521,roma,41.89,12.48,57.2,100,75,10.29,IT,1576233025
522,gat,14.69,-16.54,80.6,38,50,4.7,SN,1576233205
523,maceio,-9.67,-35.74,78.8,74,40,3.36,BR,1576233205
524,phirangipuram,16.29,80.26,86.0,62,20,6.93,IN,1576233206
525,doka,13.52,35.76,96.76,21,27,7.38,SD,1576233206
526,saquarema,-22.93,-42.51,75.2,94,75,6.93,BR,1576233206
527,phangnga,8.45,98.53,87.8,52,20,6.93,TH,1576233206
528,medea,36.27,2.77,64.4,63,75,16.11,DZ,1576233206
529,mubi,10.27,13.26,84.76,15,3,7.47,NG,1576233206
530,rosetta,31.4,30.42,64.4,72,40,18.34,EG,1576233207
531,chany,55.31,76.76,3.29,94,46,6.38,RU,1576233207
532,evensk,61.92,159.24,-14.93,74,0,11.72,RU,1576233207
533,touros,-5.2,-35.46,80.6,69,40,6.93,BR,1576233207
534,along,28.17,94.8,56.66,86,66,2.15,IN,1576233207
535,kosa,32.67,130.82,44.6,70,20,3.36,JP,1576233208
536,jaciara,-15.95,-54.98,76.23,84,92,4.63,BR,1576233208
537,azanka,58.04,64.79,14.92,91,36,5.59,RU,1576233208
538,betsiamites,48.94,-68.65,10.4,85,90,8.05,CA,1576233208
539,ahipara,-35.17,173.16,64.0,99,100,14.7,NZ,1576233209
540,inuvik,68.36,-133.71,-14.8,68,5,4.7,CA,1576233209
541,honiara,-9.43,159.96,80.6,94,40,3.36,SB,1576233209
542,launceston,-41.43,147.14,60.01,72,75,11.41,AU,1576233000
543,grobina,56.54,21.17,37.4,93,100,8.05,LV,1576233209
544,soligalich,59.08,42.29,30.42,88,100,8.01,RU,1576233210
545,padang,-0.92,100.36,69.89,95,54,2.93,ID,1576233210
546,formosa,-15.55,-47.33,76.06,77,65,5.12,BR,1576233210
547,gobabis,-22.45,18.97,91.24,13,46,5.1,NA,1576233210
548,miraflores,-16.39,-71.52,50.0,57,37,3.36,PE,1576233020
549,gaoyou,32.79,119.43,57.0,74,0,5.55,CN,1576233211
